film_title,year,genre,runtime_mins,avg_rating,num_ratings,num_reviews,country,language,letterboxd_url,date_scraped
Frankenstein,2025,Fantasy|Drama|Horror|Science Fiction|here,150,3.82,958100958100202502300345491230520260503772025202511111712113673202212182025591919738225015140,919197,USA|Canada,English|Danish|English|French,https://letterboxd.com/film/frankenstein-2025/,2026-05-04
Hoppers,2026,Science Fiction|Animation|Adventure|Comedy|Family|here,105,3.78,1207557120755702300345771175720260503202622024081052488213785313000,248821,USA,English|English|Spanish,https://letterboxd.com/film/hoppers/,2026-05-04
Michael,2026,Music|Drama,128,3.6,841103841103202602300345184784020260503122026202611122222022020820265285465365827540,285465,USA,English,https://letterboxd.com/film/michael-2026/,2026-05-04
The Secret Agent,2025,Crime|Thriller|Drama,161,3.81,11043481104348202502300345323022026043015112025202511120231221202552462853816077820,246285,Brazil|France|Germany|Netherlands|Argentina,Portuguese|English|German|Portuguese,https://letterboxd.com/film/the-secret-agent-2025/,2026-05-04
Train Dreams,2025,Drama,102,4.06,1125383112538302300345557405420260503202515112024020952826064066865290,282606,USA,English|Chinese|English,https://letterboxd.com/film/train-dreams/,2026-05-04
Scream 7,2026,Horror|Crime|Mystery,114,2.24,,212844,USA,English,https://letterboxd.com/film/scream-7/,2026-05-04
Eternity,2025,Romance|Drama|Comedy,114,3.71,114339011433902025102300345980553202605032424202520251111211312202403152025153187473717289790,318747,USA,English,https://letterboxd.com/film/eternity-2025-1/,2026-05-04
Weapons,2025,Horror|Mystery,129,3.61,972109972109202502300345810027033720260503202520252023012620255105058236128546710,1050582,USA,English,https://letterboxd.com/film/weapons-2025/,2026-05-04
The Devil Wears Prada,2006,Comedy|Drama,109,3.83,5171251712023003456593302026050320002000200612871320110622551520038329373720,515200,USA,English|English|French,https://letterboxd.com/film/the-devil-wears-prada/,2026-05-04
Dead Poets Society,1989,Drama,129,4.35,518465184602300345927387202605031989216420110622577689143535382200,776891,USA,English|English|Latin,https://letterboxd.com/film/dead-poets-society/,2026-05-04
Interstellar,2014,Science Fiction|Drama|Adventure,169,4.44,117621117621023003457896666202605031201411120130111588257044456111540,882570,UK|USA,English,https://letterboxd.com/film/interstellar/,2026-05-04
La La Land,2016,Drama|Comedy|Romance,129,4.12,24034424034402300345053670842026050320161193311111312113120141224599255741246362810,992557,USA,English,https://letterboxd.com/film/la-la-land/,2026-05-04
F1,2025,Drama|Action,156,3.64,8179778179771023003455299920260503202512141111112111211132021120411563028836418449640,630288,USA,English|Danish|English|German|Spanish,https://letterboxd.com/film/f1/,2026-05-04
The Perks of Being a Wallflower,2012,Drama,103,4.02,7133871338023003452235860720260503201211120120122561109940231235410,611099,USA,English,https://letterboxd.com/film/the-perks-of-being-a-wallflower/,2026-05-04
Fight Club,1999,Drama|Thriller,139,4.27,5156851568023003457683242026050320002000202019991111111111111111111120110622572190642753256490,721906,Germany|USA,English,https://letterboxd.com/film/fight-club/,2026-05-04
The Rip,2026,Action|Crime|Thriller,113,3.11,11874461187446202602300345768630352026050320262026131120240619202651042193113256170,104219,USA,English|English|Spanish,https://letterboxd.com/film/the-rip-2026/,2026-05-04
