film_slug,film_id,title,genre_1,genre_2,genre_3,genre_4,genre_5
last-night-in-soho,,Last Night in Soho,Horror,Mystery,,,
marcel-the-shell-with-shoes-on-2021,,Marcel the Shell with Shoes On,Animation,Drama,Comedy,Family,
the-lost-daughter-2021,,The Lost Daughter,Drama,,,,
spencer-2021,,Spencer,Drama,,,,
cinderella-2021,,Cinderella,Fantasy,Comedy,Romance,,
dune-2021,,Dune,Science Fiction,Adventure,,,
king-richard,,King Richard,History,Drama,,,
cmon-cmon,,C'mon C'mon,Drama,,,,
the-power-of-the-dog,,The Power of the Dog,Western,Drama,,,
malignant-2021,,Malignant,Horror,Mystery,,,
hes-all-that,,He's All That,Comedy,Romance,,,
ghostbusters-afterlife,,Ghostbusters: Afterlife,Comedy,Adventure,Fantasy,,
candyman-2021,,Candyman,Horror,Thriller,,,
shang-chi-and-the-legend-of-the-ten-rings,,Shang-Chi and the Legend of the Ten Rings,Adventure,Fantasy,Action,,
the-kissing-booth-3,,The Kissing Booth 3,Romance,Comedy,,,
she-will,,She Will,Drama,Horror,,,
free-guy,,Free Guy,Comedy,Adventure,Science Fiction,,
the-suicide-squad,,The Suicide Squad,Action,Comedy,Adventure,,
old-2021,,Old,Thriller,Mystery,Horror,,
red-rocket-2021,,Red Rocket,Comedy,Drama,,,
fear-street-1666,,Fear Street: 1666,Mystery,Horror,,,
lamb-2021,,Lamb,Drama,Fantasy,Horror,,
titane,,Titane,Thriller,Horror,Science Fiction,Drama,
pig-2021,,Pig,Mystery,Thriller,Drama,,
bergman-island-2021,,Bergman Island,Romance,Drama,,,
the-french-dispatch-of-the-liberty-kansas,,"The French Dispatch of the Liberty, Kansas Evening Sun",Drama,Comedy,,,
drive-my-car,,Drive My Car,Drama,,,,
benedetta,,Benedetta,Drama,Romance,History,,
after-yang,,After Yang,Drama,Science Fiction,,,
the-worst-person-in-the-world,,The Worst Person in the World,Drama,Romance,Comedy,,
cow-2021,,Cow,Documentary,,,,
the-souvenir-part-ii,,The Souvenir: Part II,Drama,Romance,,,
fear-street-1978,,Fear Street: 1978,Horror,Mystery,,,
the-velvet-underground-2021,,The Velvet Underground,Music,Documentary,,,
space-jam-a-new-legacy,,Space Jam: A New Legacy,Animation,Adventure,Comedy,Family,Science Fiction
boiling-point-2021,,Boiling Point,Drama,Thriller,,,
escape-room-tournament-of-champions,,Escape Room: Tournament of Champions,Thriller,Mystery,Horror,,
black-widow-2021,,Black Widow,Action,Adventure,Science Fiction,,
fear-street-1994,,Fear Street: 1994,Horror,Mystery,,,
no-sudden-move,,No Sudden Move,Thriller,Crime,,,
luca-2021,,Luca,Fantasy,Comedy,Drama,Family,Animation
in-the-heights,,In the Heights,Romance,Drama,,,
the-conjuring-the-devil-made-me-do-it,,The Conjuring: The Devil Made Me Do It,Thriller,Horror,Mystery,,
cruella,,Cruella,Drama,Comedy,Crime,,
the-woman-in-the-window-2021,,The Woman in the Window,Crime,Thriller,Mystery,,
oxygen-2021,,Oxygen,Horror,Thriller,Science Fiction,,
spiral-from-the-book-of-saw,,Spiral: From the Book of Saw,Horror,Mystery,,,
wrath-of-man,,Wrath of Man,Thriller,Drama,Crime,,
army-of-the-dead-2021,,Army of the Dead,Horror,Action,Crime,,
bad-trip-2021,,Bad Trip,Comedy,,,,
godzilla-vs-kong,,Godzilla vs. Kong,Science Fiction,Adventure,Action,,
charli-xcx-alone-together,,Charli XCX: Alone Together,Documentary,Music,,,
nobody-2021,,Nobody,Action,Thriller,,,
zack-snyders-justice-league,,Zack Snyder's Justice League,Action,Fantasy,Adventure,,
the-feast-2021,,The Feast,Thriller,Horror,,,
yes-day,,YES DAY,Comedy,Family,,,
barb-star-go-to-vista-del-mar,,Barb & Star Go to Vista Del Mar,Comedy,,,,
passing-2021,,Passing,Drama,,,,
pleasure-2021,,Pleasure,Drama,,,,
a-glitch-in-the-matrix-2021,,A Glitch in the Matrix,Documentary,,,,
coda-2021,,CODA,Drama,Music,Romance,,
malcolm-marie,,Malcolm & Marie,Drama,Romance,,,
censor-2021,,Censor,Horror,Mystery,,,
wrong-turn-2021,,Wrong Turn,Thriller,Horror,,,
the-dig-2021,,The Dig,Drama,History,,,
death-to-2020,,Death to 2020,Comedy,,,,
wonder-woman-1984,,Wonder Woman 1984,Action,Adventure,Fantasy,,
the-midnight-sky,,The Midnight Sky,Drama,Science Fiction,,,
the-prom-2020,,The Prom,Comedy,Romance,,,
lovers-rock-2020,,Lovers Rock,Drama,Romance,,,
ma-raineys-black-bottom,,Ma Rainey's Black Bottom,Music,Drama,,,
happiest-season,,Happiest Season,Romance,Comedy,,,
mank,,Mank,History,Drama,,,
hillbilly-elegy,,Hillbilly Elegy,Drama,,,,
borat-subsequent-moviefilm-delivery-of-prodigious,,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Comedy,,,,
roald-dahls-the-witches,,Roald Dahl's The Witches,Comedy,Horror,Fantasy,Family,
soul-2020,,Soul,Music,Drama,Family,Animation,Fantasy
run-2020,,Run,Thriller,Horror,Drama,,
hubie-halloween,,Hubie Halloween,Horror,Mystery,Comedy,,
red-white-and-blue-2020,,"Red, White and Blue",Drama,,,,
david-attenborough-a-life-on-our-planet,,David Attenborough: A Life on Our Planet,Documentary,Drama,,,
the-trial-of-the-chicago-7,,The Trial of the Chicago 7,History,Drama,,,
enola-holmes,,Enola Holmes,Mystery,Crime,Adventure,,
on-the-rocks-2020,,On the Rocks,Romance,Comedy,Drama,,
i-care-a-lot,,I Care a Lot,Drama,Crime,Thriller,Comedy,
after-love-2020,,After Love,Drama,,,,
nomadland,,Nomadland,Drama,,,,
ammonite,,Ammonite,Romance,Drama,,,
the-devil-all-the-time,,The Devil All the Time,Crime,Drama,Thriller,,
mainstream-2020,,Mainstream,Comedy,Drama,,,
pieces-of-a-woman,,Pieces of a Woman,Drama,,,,
antebellum,,Antebellum,Horror,,,,
im-thinking-of-ending-things,,I'm Thinking of Ending Things,Fantasy,Thriller,Mystery,Drama,
class-action-park,,Class Action Park,Documentary,,,,
tenet,,Tenet,Science Fiction,Action,Thriller,,
pvt-chat,,PVT Chat,Drama,,,,
shithouse,,Shithouse,Comedy,Romance,Drama,,
an-american-pickle,,An American Pickle,Comedy,Drama,,,
the-kissing-booth-2,,The Kissing Booth 2,Comedy,Romance,,,
follow-me-2020,,Follow Me,Horror,Thriller,,,
eurovision-song-contest-the-story-of-fire-saga,,Eurovision Song Contest: The Story of Fire Saga,Music,Comedy,,,
da-5-bloods,,Da 5 Bloods,War,Drama,,,
freeze-2020,,Freeze,,,,,
capone-2020,,Capone,Drama,Crime,,,
tigertail,,Tigertail,Drama,,,,
shiva-baby-2020,,Shiva Baby,Comedy,Drama,,,
the-hunt-2020,,The Hunt,Thriller,Action,Horror,,
