username,film_slug,film_id,rating
jay,the-feast-2021,,2.5
jay,yes-day,,2.0
jay,barb-star-go-to-vista-del-mar,,3.5
jay,passing-2021,,3.0
jay,pleasure-2021,,4.0
jay,a-glitch-in-the-matrix-2021,,2.5
jay,coda-2021,,2.5
jay,malcolm-marie,,2.5
jay,censor-2021,,3.5
jay,wrong-turn-2021,,2.5
jay,the-dig-2021,,3.0
jay,death-to-2020,,1.5
jay,wonder-woman-1984,,1.5
jay,the-midnight-sky,,2.0
jay,the-prom-2020,,2.0
jay,lovers-rock-2020,,4.0
jay,ma-raineys-black-bottom,,3.5
jay,happiest-season,,3.0
jay,mank,,3.5
jay,hillbilly-elegy,,1.0
jay,borat-subsequent-moviefilm-delivery-of-prodigious,,3.5
jay,roald-dahls-the-witches,,2.0
jay,soul-2020,,4.0
jay,run-2020,,3.0
jay,hubie-halloween,,1.5
jay,red-white-and-blue-2020,,3.5
jay,david-attenborough-a-life-on-our-planet,,3.0
jay,the-trial-of-the-chicago-7,,3.0
jay,enola-holmes,,3.0
jay,on-the-rocks-2020,,2.5
jay,i-care-a-lot,,2.5
jay,after-love-2020,,4.0
jay,nomadland,,3.5
jay,ammonite,,2.5
jay,the-devil-all-the-time,,2.5
jay,mainstream-2020,,2.5
jay,pieces-of-a-woman,,3.0
jay,antebellum,,1.5
jay,im-thinking-of-ending-things,,4.0
jay,class-action-park,,3.5
jay,tenet,,3.0
jay,pvt-chat,,3.0
jay,shithouse,,3.5
jay,an-american-pickle,,3.0
jay,the-kissing-booth-2,,0.5
jay,follow-me-2020,,1.0
jay,eurovision-song-contest-the-story-of-fire-saga,,1.5
jay,da-5-bloods,,3.5
jay,freeze-2020,,3.5
jay,capone-2020,,2.5
jay,tigertail,,3.0
jay,shiva-baby-2020,,4.5
jay,the-hunt-2020,,1.0
jay,the-invisible-man-2020,,3.5
jay,brahms-the-boy-ii,,1.5
jay,emma-2020,,3.5
jay,the-father-2020,,4.0
jay,some-kind-of-heaven,,4.0
jay,surge-2020,,3.5
jay,palm-springs-2020,,3.5
jay,promising-young-woman,,2.5
jay,possessor,,4.0
jay,sonic-the-hedgehog,,2.5
jay,spree-2020,,3.0
jay,miss-americana,,3.5
jay,cats-2019,,1.5
jay,star-wars-the-rise-of-skywalker,,2.0
jay,little-women-2019,,4.0
jay,last-christmas-2019,,2.0
jay,let-it-snow-2019,,2.0
jay,klaus,,3.5
jay,doctor-sleep,,3.5
jay,el-camino-a-breaking-bad-movie,,3.5
jay,zombieland-double-tap,,2.0
jay,the-irishman-2019,,4.0
jay,tall-girl,,0.5
jay,guns-akimbo,,1.5
jay,saint-maud,,4.0
jay,bad-education-2019,,3.5
jay,two-of-us-2019,,3.5
jay,color-out-of-space,,3.5
jay,knives-out-2019,,4.0
jay,a-beautiful-day-in-the-neighborhood,,3.0
jay,the-platform,,3.5
jay,hustlers-2019,,3.5
jay,the-personal-history-of-david-copperfield,,3.5
jay,babyteeth,,4.0
jay,the-king-2019,,3.0
jay,the-laundromat-2019,,1.5
jay,the-two-popes,,2.0
jay,first-cow,,4.0
jay,waves-2019,,2.5
jay,ford-v-ferrari,,3.0
jay,uncut-gems,,5.0
jay,marriage-story-2019,,5.0
jay,ad-astra-2019,,3.0
jay,it-chapter-two,,1.5
jay,ready-or-not-2019,,3.5
jay,bad-assistant,,3.5
jay,fast-furious-presents-hobbs-shaw,,3.0
jay,daughter-2019,,3.0
jay,the-fabric-of-you,,3.0
jay,anima-2019,,3.5
jay,spider-man-far-from-home,,3.0
jay,childs-play-2019,,2.5
jay,midsommar,,4.0
jay,sequin-in-a-blue-room,,3.5
jay,jonas-brothers-chasing-happiness,,2.5
jay,always-be-my-maybe-2019,,3.0
jay,ma-2019,,2.0
jay,murder-mystery,,1.0
jay,matthias-maxime,,4.0
jay,parasite-2019,,5.0
jay,once-upon-a-time-in-hollywood,,2.5
jay,portrait-of-a-lady-on-fire,,4.0
jay,the-lighthouse-2019,,5.0
jay,rocketman-2019,,3.0
jay,john-wick-chapter-3-parabellum,,3.5
jay,wine-country,,2.0
jay,yesterday-2019,,2.0
jay,tolkien-2019,,2.0
jay,pokemon-detective-pikachu,,3.0
jay,the-kill-team-2019,,2.5
jay,avengers-endgame,,2.5
jay,homecoming-a-film-by-beyonce,,4.0
jay,the-perfect-date-2019,,2.0
jay,after-2019,,1.0
jay,hellboy-2019,,1.0
jay,the-silence-2019,,1.5
jay,five-feet-apart,,2.0
jay,dumbo-2019,,2.5
jay,booksmart,,3.0
jay,the-peanut-butter-falcon,,3.0
jay,long-shot-2019,,3.5
jay,us-2019,,3.0
jay,triple-frontier,,3.0
jay,happy-death-day-2u,,3.0
jay,isnt-it-romantic-2019,,2.0
jay,alita-battle-angel,,2.5
jay,the-souvenir,,2.0
jay,velvet-buzzsaw,,2.0
jay,wounds,,1.0
jay,the-last-black-man-in-san-francisco,,4.0
jay,extremely-wicked-shockingly-evil-and-vile,,2.5
jay,the-hole-in-the-ground-2019,,3.0
jay,the-lodge-2019,,3.5
jay,honey-boy,,4.0
jay,polar-2019,,1.0
jay,serenity-2019,,1.0
