username,movie_title,film_slug,film_id,rating,genre_1,genre_2,genre_3,genre_4,genre_5
jay,Disenchanted,disenchanted,,1.5,Comedy,Fantasy,Family,,
jay,Stutz,stutz,,3.5,Documentary,,,,
jay,Talk to Me,talk-to-me-2022,,3.5,Fantasy,Horror,,,
jay,Black Panther: Wakanda Forever,black-panther-wakanda-forever,,3.0,Science Fiction,Adventure,Action,,
jay,Guillermo del Toro's Pinocchio,guillermo-del-toros-pinocchio,,4.0,Drama,Adventure,Animation,Fantasy,
jay,"Lyle, Lyle, Crocodile",lyle-lyle-crocodile,,2.0,Comedy,Music,Family,,
jay,Halloween Ends,halloween-ends,,2.5,Horror,Thriller,,,
jay,The Estate,the-estate-2022,,0.5,Comedy,Drama,,,
jay,Roald Dahl's Matilda the Musical,roald-dahls-matilda-the-musical,,3.0,Comedy,Family,Fantasy,,
jay,Hocus Pocus 2,hocus-pocus-2,,2.5,Comedy,Fantasy,,,
jay,The Almond and the Seahorse,the-almond-and-the-seahorse,,1.5,Drama,Romance,,,
jay,Smile,smile-2022,,1.0,Horror,Mystery,,,
jay,Amsterdam,amsterdam-2022,,1.5,Mystery,Comedy,Drama,,
jay,Do Revenge,do-revenge,,2.5,Thriller,Comedy,Romance,,
jay,Sanctuary,sanctuary-2022,,3.5,Thriller,Drama,,,
jay,Sick,sick-2022,,3.5,Horror,Mystery,,,
jay,My Policeman,my-policeman,,3.0,Drama,Romance,,,
jay,The Good Nurse,the-good-nurse,,3.0,Mystery,Crime,Drama,,
jay,Catherine Called Birdy,catherine-called-birdy,,3.0,Comedy,Adventure,,,
jay,How to Blow Up a Pipeline,how-to-blow-up-a-pipeline,,4.0,Thriller,Crime,Drama,,
jay,Causeway,causeway,,3.5,Drama,,,,
jay,The Fabelmans,the-fabelmans,,3.5,Drama,,,,
jay,Glass Onion,glass-onion,,2.5,Crime,Mystery,Comedy,,
jay,The Menu,the-menu-2022,,2.0,Comedy,Horror,,,
jay,Allelujah,allelujah,,1.5,Drama,,,,
jay,See How They Run,see-how-they-run-2022,,2.5,Comedy,Crime,Mystery,,
jay,Bros,bros,,1.5,Comedy,Romance,,,
jay,Blonde,blonde-2022,,2.0,Drama,,,,
jay,The Son,the-son-2022,,2.0,Drama,,,,
jay,Pinocchio,pinocchio-2022,,1.5,Adventure,Fantasy,Family,,
jay,Saint Omer,saint-omer,,3.0,Crime,Drama,,,
jay,The Banshees of Inisherin,the-banshees-of-inisherin,,4.0,Comedy,Drama,,,
jay,Don't Worry Darling,dont-worry-darling,,2.0,Mystery,Science Fiction,Thriller,,
jay,The Whale,the-whale-2022,,3.0,Drama,,,,
jay,Pearl,pearl-2022,,3.5,Horror,Thriller,,,
jay,The Wonder,the-wonder,,3.0,Drama,Mystery,,,
jay,Lady Chatterley's Lover,lady-chatterleys-lover-2022,,4.0,Romance,Drama,,,
jay,Women Talking,women-talking,,3.5,Drama,,,,
jay,Bones and All,bones-and-all,,4.0,Horror,Drama,Romance,,
jay,TÁR,tar-2022,,5.0,Music,Drama,,,
jay,Blue Jean,blue-jean,,4.5,Drama,,,,
jay,"BARDO, False Chronicle of a Handful of Truths",bardo-false-chronicle-of-a-handful-of-truths,,2.5,Drama,Comedy,,,
jay,White Noise,white-noise-2022,,3.0,Comedy,Drama,,,
jay,Terrifier 2,terrifier-2,,3.0,Horror,,,,
jay,Barbarian,barbarian-2022,,3.0,Horror,Mystery,,,
jay,I Came By,i-came-by,,2.0,Crime,Thriller,,,
jay,Beast,beast-2022-1,,2.0,Action,Horror,Thriller,Adventure,
jay,Fall,fall-2022,,3.0,Thriller,,,,
jay,Day Shift,day-shift-2022,,2.5,Fantasy,Comedy,Thriller,Horror,Action
jay,Medusa Deluxe,medusa-deluxe,,4.0,Comedy,Drama,Thriller,Mystery,
jay,Prey,prey-2022,,3.5,Action,Thriller,Science Fiction,,
jay,Orphan: First Kill,orphan-first-kill,,3.5,Horror,Thriller,,,
jay,Skinamarink,skinamarink,,3.0,Horror,,,,
jay,They/Them,they-them-2022-1,,1.5,Horror,Mystery,,,
jay,Nope,nope,,3.5,Science Fiction,Horror,,,
jay,Mrs. Harris Goes to Paris,mrs-harris-goes-to-paris,,3.5,History,Drama,Comedy,,
jay,The Gray Man,the-gray-man-2022,,2.0,Thriller,Action,,,
jay,Persuasion,persuasion-2022,,1.5,Drama,Comedy,Romance,,
jay,Minions: The Rise of Gru,minions-the-rise-of-gru,,3.0,Science Fiction,Family,Animation,Comedy,Adventure
jay,Thor: Love and Thunder,thor-love-and-thunder,,1.5,Action,Fantasy,Comedy,,
jay,Spiderhead,spiderhead,,2.0,Thriller,Science Fiction,,,
jay,Dragon Ball Super: Super Hero,dragon-ball-super-super-hero,,3.0,Animation,Action,Science Fiction,,
jay,Lightyear,lightyear-2022,,2.5,Family,Science Fiction,Adventure,Animation,
jay,Blood in the Water,blood-in-the-water-2022,,1.0,Horror,Thriller,,,
jay,Hustle,hustle-2022,,3.0,Comedy,Drama,,,
jay,Fire Island,fire-island-2022,,3.0,Romance,Comedy,,,
jay,Close,close-2022,,3.5,Drama,,,,
jay,Elvis,elvis-2022,,4.0,Music,History,Drama,,
jay,Decision to Leave,decision-to-leave,,3.5,Mystery,Thriller,Romance,,
jay,Jurassic World Dominion,jurassic-world-dominion,,1.5,Thriller,Science Fiction,Adventure,,
jay,Crimes of the Future,crimes-of-the-future-2022,,3.0,Horror,Thriller,Science Fiction,,
jay,Sick of Myself,sick-of-myself,,4.0,Comedy,Horror,,,
jay,Holy Spider,holy-spider,,3.0,Crime,Drama,Thriller,,
