activity_name,category,location_area
STT Makati Data Center,Corporate office,"2270 Chino Roces Ave, Makati City, 1232 Metro Manila, Philippines"
IDNPLAY,Software company,"1230 Sen. Gil J. Puyat Ave, Makati City, 1230 Metro Manila, Philippines"
Nexplay,Media company,"2003, One World Place, 32nd St, Taguig, Metro Manila, Philippines"
+81 Bar,Cocktail bar,"Makati Square, G-1 Fernando, Makati City, Metro Manila, Philippines"
NAOS Esports Arena,Internet cafe,"One Archers Place, 2311 Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines"
Whimsy Game Cafe,Game store,"The Portal, Unit 14&15 Mayflower St, Highway Hills, Greenfield District, Mandaluyong City, Metro Manila, Philippines"
Ludo Games Store,Trading card store,"7396 Santillan, Makati City, 1230 Metro Manila, Philippines"
Room 6209,Bar,"6209 Manalac, Makati City, Metro Manila, Philippines"
Surge Fitness + Lifestyle Jupiter Makati Bel-Air,Fitness center,"120 Jupiter, Makati City, 1209 Metro Manila, Philippines"
Co-Op Gaming Lounge,Video game rental store,"JX3Q+G69, Recto Ave, Sampaloc, Manila, 1008 Metro Manila, Philippines"
Makati Central Square,Shopping mall,"2130 Chino Roces Ave, Legazpi Village, Makati City, 1230 Metro Manila, Philippines"
Surge Fitness + Lifestyle Glorietta,Fitness center,"Ayala Avenue cor. Pasay Road Ayala Center Ayala Center Makati, Makati City, Metro Manila, Philippines"
GamerZ PS5 Lounge,Internet cafe,"B1 L38 San Miguel, 2 Ave. Molino 4, Bacoor, Cavite, Philippines"
Game One Tech Store,Video game store,"3rd Flr, Glorietta 2, Palm Dr, Makati City, Metro Manila, Philippines"
Data Blitz,Game store,"3rd Level, Glorietta 2, Palm Dr, Makati City, 1223 Metro Manila, Philippines"
Data Blitz (Datablitz),Video game store,"2F, Century City Mall, Kalayaan Ave, Makati City, 1210 Metro Manila, Philippines"
Game One Tech Store,Video game store,"4/F, Greenhills Mall, Greenhills Shopping Center, San Juan City, 1502 Metro Manila, Philippines"
Slip99,Video game store,"GXJP+GCJ, Coral Way, Pasay City, Metro Manila, Philippines"
GameXtreme,Video game store,"2nd Floor, Cyberzone, SM Makati, Makati City, Metro Manila, Philippines"
A&R Playstation Corner,Video game store,"15-H Pio Del Pilar, st A. Bonifacio Ave, Taguig, 1215 Metro Manila, Philippines"
DataBlitz,Video game store,"R3, Power Plant Mall, Rockwell Dr, Makati City, Metro Manila, Philippines"
EasyPC Makati,Computer store,"1113 J.P. Rizal, cor Antipolo, Makati City, 1208 Metro Manila, Philippines"
Jilipark,Video game store,"127 Sinciego, Pasay City, 1306 Metro Manila, Philippines"
Gameline - MOA Branch,Video game store,"2nd flr., North Wing, SM Mall of Asia, 123 Seaside Blvd, Pasay City, 1300 Metro Manila, Philippines"
Datablitz - One Ayala,Video game store,"Level 4, Ayala Malls One Ayala, Makati City, Metro Manila, Philippines"
Datablitz,Video game store,"2nd Floor, Cyberzone, SM Makati, Makati City, Metro Manila, Philippines"
E-games Sta.Ana (Cool Games),Casino,"3333 New Panaderos, Santa Ana, Manila, 1009 Metro Manila, Philippines"
Virtual Game Rental (Virtual Reality),Event technology service,"Cityland Pasong Tamo Tower, 6264 Calle Estacion, Makati City, 1230 Metro Manila, Philippines"
Space Arcade PH,Video arcade,"L1 S Maison Seaside Boulevard, Coral Way, Pasay City, 1300 Metro Manila, Philippines"
Timezone - Venice Grand Canal Mall,Video arcade,"2nd Floor, Venice Grand Canal Mall, McKinley Hill Dr, Taguig, 1630 Metro Manila, Philippines"
VR Live,Game store,"SM Mall of Asia, Pasay City, Metro Manila, Philippines"
Timezone Vista Mall Taguig,Video arcade,"2/F, Vista Mall, Camella Taguig Road, Levi Mariano Avenue, Tuktukan, Taguig, 1630, Philippines"
Fantacy Amuse,Video arcade,"H3M4+PMR, Doña Julia Vargas Ave, Ortigas Center, Mandaluyong City, Metro Manila, Philippines"
Timezone SM Mall of Asia 2,Video arcade,"Level 3, Entertainment Mall, SM Mall of Asia, Pasay City, 1300 Metro Manila, Philippines"
Timezone SM Aura,Video arcade,"5th floor, SM Aura Premier, 26th street, Corner McKinley Pkwy, Taguig, Philippines"
Timezone Robinsons Place Manila 2F,Video arcade,"2nd level, Pedro Gil Wing, Robinsons Place Manila Pedro Gil, cor Adriatico St, Ermita, Manila, 1000 Metro Manila, Philippines"
Timezone Robinsons Galleria,Video arcade,"Upper Ground Floor, Robinsons Galleria EDSA, cor Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines"
"Veer Immersive Technologies, Inc.",Corporate office,"Unit 305, Parc House II 21 EDSA, Guadalupe, Makati City, Metro Manila, Philippines"
Virtual Studios PH,Corporate office,"S&L Building, 101 Esteban, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Alpha Sports Elite Golf Simulators (Makati),Indoor golf course,"2285 Chino Roces Ave, Makati City, 1232 Metro Manila, Philippines"
Elite Tee Box - BGC(Golf Lab),Indoor golf course,"Unit 507, High Street Central, Taguig, 1634 Metro Manila, Philippines"
TEAM SINGLE PLAY 스크린골프,Indoor golf course,"2nd floor, Units 206 and 207 Bonifacio Stopover 31st Street, Cor Rizal Dr, Taguig, 1634 Metro Manila, Philippines"
Friendsscreengolf,Indoor golf course,"4th Floor, Century City Mall, Kalayaan Ave, Makati City, 1210 Metro Manila, Philippines"
TC Gaming Group,Software company,"213 Sen. Gil J. Puyat Ave, Makati City, 1203 Metro Manila, Philippines"
PLI Golf Makati (Virtual Golf Simulator),Indoor golf course,"260 Old 262 A Pablo Ocampo Sr. Extension Former V. Cruz, San Antonio Village, Makati City, 1203 Metro Manila, Philippines"
Monza Barcade,Bar,"The View Deck, Arcovia, Pasig, Metro Manila, Philippines"
KORSA Pitstop Cafe,Video arcade,"Unit 3125 Diosdado Macapagal Blvd, cor Aseana Ave, Parañaque, 1701 Metro Manila, Philippines"
GolfX BGC - Sports Hub (Indoor Golf),Indoor golf course,"34th St, Taguig, Metro Manila, Philippines"
Newsim,Training center,"2323 Marconi St, Makati, Kalakhang Maynila, Philippines"
Circuit makati,Park,"H2G9+PXM, Hippodromo St, Makati City, Metro Manila, Philippines"
Meta Motors Pasig Circuit,Racecourse,"San Andres Compound, 5 Francisco Legaspi, Pasig, 1607 Metro Manila, Philippines"
Monarch Manila,Bar,"100 C Don Carlos Palanca, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Skyline Sports & Social,Sports bar,"4F, Century City Mall, Kalayaan Ave, Poblacion, Makati City, 1210 Metro Manila, Philippines"
F1 Racing Simulator International,Racing car parts store,"J39W+QQ4, Marikina-Infanta Hwy, Antipolo, 1870 Metro Manila, Philippines"
Gameline Grid Experience Center,Video game store,"5 Campanilla, Mariana, Quezon City, 1112 Metro Manila, Philippines"
Sim Racing Stand,Metal fabricator,"2nd St, Cainta, 1900 Rizal, Philippines"
Upshift Racing Cafe,Coffee shop,"Philippines, Metro Manila, Manila, Malate, 邮政编码: 1004"
Apex Racing Philippines,Sports club,"888 Banawe Square, Banawe, Cor G. Roxas St, Quezon City, Metro Manila, Philippines"
Ekartraceway,Go-karting venue,"3rd Floor, main building, SM North Edsa, Bagong Pag asa, Quezon City, 1105 Metro Manila, Philippines"
Green Sun Hotel & Events,Hotel,"2285 Chino Roces Ave, Makati City, 1232 Metro Manila, Philippines"
Tuason Racing,Motorsports store,"Dahlia, Almanza Dos, Las Piñas, Metro Manila, Philippines"
Racing Juan Store,Motorsports store,"Ground Floor, Alabang Town Center, Theater Dr, Alabang, Muntinlupa, 1770 Metro Manila, Philippines"
Shift Zone Trading,Store,"40, 1800 Starlight, Marikina, Metro Manila, Philippines"
Alpha Sports - Friends Screen Golf Simulators (Alabang),Indoor golf course,"2/F Commerce Avenue cor Filinvest, E Asia Dr, Alabang, Muntinlupa, 1781 Metro Manila, Philippines"
TOPSIM Indoor Golf and Racing Center,Video arcade,"56 Holy Spirit Dr, Quezon City, 1127 Metro Manila, Philippines"
SHOOR,E-commerce service,"Salcedo One Centre, 170 Salcedo, Legaspi Village, Makati City, 1229 Metro Manila, Philippines"
Rabbit Room,Restaurant,"8858 Sampaloc, Makati City, 1203 Metro Manila, Philippines"
Mystery Manila Podium Mall,Escape room center,"5ft Floor, SM Podium Mall, Ortigas Center, Mandaluyong City, Metro Manila, Philippines"
Banter and Jive,Cocktail bar,"3rd Floor, 5650 Don Pedro, Makati City, 1210 Metro Manila, Philippines"
Dim Dim,Bar,"5969 Fermina, Poblacion, Makati City, 1219 Metro Manila, Philippines"
The Rage Room and Coffee - Ayala Malls Circuit,Coffee shop,"Upper Ground Floor, Hippodromo St, Makati City, Metro Manila, Philippines"
